203.0.113.5 - - [09/Nov/2025:09:40:01 +0100] "GET / HTTP/1.1" 200 15234 "https://example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
198.51.100.45 - - [09/Nov/2025:09:41:12 +0100] "GET /index.php?page=about HTTP/1.1" 200 4832 "https://example.com/" "curl/7.68.0"
192.0.2.13 - - [09/Nov/2025:09:42:03 +0100] "GET /admin.php?action=delete&where=1=1 HTTP/1.1" 200 512 "https://example.com/admin" "sqlmap/1.5.0"
198.51.100.77 - - [09/Nov/2025:09:42:20 +0100] "GET /images/logo.png HTTP/1.1" 200 1024 "https://example.com/" "Mozilla/5.0 (Macintosh)"
203.0.113.9 - - [09/Nov/2025:09:43:05 +0100] "POST /login.php HTTP/1.1" 302 642 "https://example.com/login.php" "python-requests/2.24.0"
203.0.113.9 - - [09/Nov/2025:09:43:07 +0100] "POST /login.php HTTP/1.1" 302 642 "https://example.com/login.php" "python-requests/2.24.0"
203.0.113.9 - - [09/Nov/2025:09:43:09 +0100] "POST /login.php HTTP/1.1" 302 642 "https://example.com/login.php" "python-requests/2.24.0"
198.51.100.46 - - [09/Nov/2025:09:44:00 +0100] "GET /docs/manual.pdf HTTP/1.1" 200 204800 "https://example.com/docs" "Mozilla/5.0"
192.0.2.200 - - [09/Nov/2025:09:44:12 +0100] "GET /search?q=security+tips HTTP/1.1" 200 2153 "https://example.com/" "Mozilla/5.0"
198.51.100.45 - - [09/Nov/2025:09:45:33 +0100] "GET /../../etc/passwd HTTP/1.1" 404 209 "-" "Nikto/2.1.6 (Evasions:None)"
198.51.100.45 - - [09/Nov/2025:09:45:40 +0100] "GET /etc/passwd HTTP/1.1" 403 312 "-" "sqlmap/1.5.0"
192.0.2.13 - - [09/Nov/2025:09:45:50 +0100] "GET /blog/2025/nov/post.html HTTP/1.1" 200 7343 "https://example.com/" "Mozilla/5.0"
198.51.100.100 - - [09/Nov/2025:09:46:01 +0100] "GET /contact HTTP/1.1" 200 1234 "https://example.com/" "Mozilla/5.0"
198.51.100.77 - - [09/Nov/2025:09:46:22 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "Mozilla/5.0 (compatible)"
198.51.100.77 - - [09/Nov/2025:09:46:25 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "Mozilla/5.0 (compatible)"
198.51.100.77 - - [09/Nov/2025:09:46:28 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "Mozilla/5.0 (compatible)"
198.51.100.77 - - [09/Nov/2025:09:46:31 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "Mozilla/5.0 (compatible)"
198.51.100.77 - - [09/Nov/2025:09:46:34 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "Mozilla/5.0 (compatible)"
203.0.113.55 - - [09/Nov/2025:09:47:00 +0100] "GET /.env HTTP/1.1" 200 413 "-" "python-requests/2.25.1"
192.0.2.50 - - [09/Nov/2025:09:47:20 +0100] "GET /api/status HTTP/1.1" 200 123 "-" "curl/7.58.0"
198.51.100.45 - - [09/Nov/2025:09:48:05 +0100] "GET /admin.php?action=view&id=15 HTTP/1.1" 200 2341 "https://example.com/admin" "Mozilla/5.0"
192.0.2.13 - - [09/Nov/2025:09:48:22 +0100] "GET /help HTTP/1.1" 200 987 "https://example.com/" "Mozilla/5.0"
198.51.100.77 - - [09/Nov/2025:09:48:33 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "BadBot/1.0"
198.51.100.77 - - [09/Nov/2025:09:48:36 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "BadBot/1.0"
198.51.100.77 - - [09/Nov/2025:09:48:39 +0100] "POST /wp-login.php HTTP/1.1" 200 512 "https://example.com/wp-login.php" "BadBot/1.0"
203.0.113.9 - - [09/Nov/2025:09:49:10 +0100] "GET /downloads/report.csv HTTP/1.1" 200 40960 "https://example.com/reports" "Mozilla/5.0"
